sample_id,submitter_organization_name,organism,sample_collection_date,sample_received_date,sample_origin_country,state_country,host_scientific_name,environmental_site,host_disease,strain_name,purpose_of_sequencing,library_preparation_kit,sequencing_instrument,sequencing_protocol_primer_set,tags,library_strategy,library_source,library_selection,library_layout,sequencing_platform,clade_color,faccity,caspofungin_mic,micafungin_mic,anidulafungin_mic,wgs_id,srr_number,average_q_score_after_trimming,gc_after_trimming,reference_length_coverage_after_trimming,mean_coverage_depth,PM_Predicted_Taxon,PM_Subtype_ANI,PM_Closest_GAMBIT_Entry_Description,PM_Avg_Read_Quality,PM_Sample_Assembly_GC,PM_Avg_Depth_Coverage,outcome,snpeff_gene_name,region,position,mutation,ref_sequence,sample_sequence,PM_Subtype_Closest_Match,lineage_clade_name,purpose_of_sampling,arln_geographic_region,lat_lon,anatomical_material
B11842,CDC's Mycotic Diseases Branch,[Candida] auris,05/04/2017,05/10/2017,USA,FL,Homo sapiens,Not Provided,Not Provided,B11842/USA/FL/2025-01-06,,Illumina DNA Prep kit,Illumina MiSeq,Not Provided,,WGS,GENOMIC,RANDOM,paired,ILLUMINA,#11C41B,FORT_LAUDERDALE,> 16,1,0.25,USA-CDC-CAU-B11842,,,,40.3,39.54,,,,,,,PASS,,,,,,,,Clade IV,clinical,Southeast,Not Collected,Bronchial Washings
B11858,CDC's Mycotic Diseases Branch,[Candida] auris,05/05/2017,05/11/2017,USA,TX,Homo sapiens,Not Provided,Not Provided,B11858/USA/TX/2025-01-06,,Illumina DNA Prep kit,Illumina MiSeq,Not Provided,,WGS,GENOMIC,RANDOM,paired,ILLUMINA,#11C41B,HOUSTON,> 16,1,0.25,USA-CDC-CAU-B11858,,,,40.3,39.54,,,,,,,PASS,,,,,,,,Clade IV,clinical,Southwest,Not Collected,Blood
B12043,CDC's Mycotic Diseases Branch,[Candida] auris,06/10/2017,06/15/2017,USA,CA,Homo sapiens,Not Provided,Not Provided,B12043/USA/CA/2025-01-06,,Illumina DNA Prep kit,Illumina MiSeq,Not Provided,,WGS,GENOMIC,RANDOM,paired,ILLUMINA,#EE0E0E,LOS_ANGELES,> 16,0.25,0.25,USA-CDC-CAU-B12043,,,,40.3,39.53,,,,,,,PASS,,,,,,,,Clade II,clinical,West,Not Collected,Blood
B12360,CDC's Mycotic Diseases Branch,[Candida] auris,07/15/2017,07/20/2017,USA,NY,Homo sapiens,Not Provided,Not Provided,B12360/USA/NY/2025-01-06,,Illumina DNA Prep kit,Illumina MiSeq,Not Provided,,WGS,GENOMIC,RANDOM,paired,ILLUMINA,#3363FF,NEW_YORK,> 16,1,0.12,USA-CDC-CAU-B12360,,,,40.3,39.53,,,,,,,PASS,,,,,,,,Clade III,clinical,Northeast,Not Collected,Urine
B12631,CDC's Mycotic Diseases Branch,[Candida] auris,08/20/2017,08/25/2017,USA,IL,Homo sapiens,Not Provided,Not Provided,B12631/USA/IL/2025-01-06,,Illumina DNA Prep kit,Illumina MiSeq,Not Provided,,WGS,GENOMIC,RANDOM,paired,ILLUMINA,#11C41B,CHICAGO,> 16,1,0.25,USA-CDC-CAU-B12631,,,,40.3,39.54,,,,,,,PASS,,,,,,,,Clade IV,clinical,Midwest,Not Collected,Blood
B12779,CDC's Mycotic Diseases Branch,[Candida] auris,02/14/2018,02/20/2018,USA,UT,Homo sapiens,Not Provided,Not Provided,B12779/USA/UT/2025-01-07,,Illumina DNA Prep kit,Illumina MiSeq,Not Provided,,WGS,GENOMIC,RANDOM,paired,ILLUMINA,#EE0E0E,SALT_LAKE_CITY,> 16,0.25,0.25,USA-CDC-CAU-B12779,,,,40.3,39.53,,,,,,,PASS,,,,,,,,Clade II,clinical,Mountain,Not Collected,Blood
B12847,CDC's Mycotic Diseases Branch,[Candida] auris,08/14/2018,08/18/2018,USA,NC,Homo sapiens,Not Provided,Not Provided,B12847/USA/NC/2025-01-07,,Illumina DNA Prep kit,Illumina MiSeq,Not Provided,,WGS,GENOMIC,RANDOM,paired,ILLUMINA,#11C41B,GAINESVILLE,> 16,1,0.12,USA-CDC-CAU-B12847,,,,40.3,39.53,,,,,,,PASS,,,,,,,,Clade IV,clinical,Southeast,Not Collected,Blood
B13519,CDC's Mycotic Diseases Branch,[Candida] auris,09/05/2018,09/10/2018,USA,AZ,Homo sapiens,Not Provided,Not Provided,B13519/USA/AZ/2025-01-07,,Illumina DNA Prep kit,Illumina MiSeq,Not Provided,,WGS,GENOMIC,RANDOM,paired,ILLUMINA,#EE0E0E,PHOENIX,> 16,0.25,0.25,USA-CDC-CAU-B13519,,,,40.3,39.53,,,,,,,PASS,,,,,,,,Clade II,clinical,Southwest,Not Collected,Blood
B13696,CDC's Mycotic Diseases Branch,[Candida] auris,02/10/2020,02/16/2020,USA,GA,Homo sapiens,Not Provided,Not Provided,B13696/USA/GA/2025-01-07,,Illumina DNA Prep kit,Illumina MiSeq,Not Provided,,WGS,GENOMIC,RANDOM,paired,ILLUMINA,#3363FF,CAPE_CORAL,> 16,1,0.12,USA-CDC-CAU-B13696,,,,40.3,39.53,,,,,,,PASS,,,,,,,,Clade III,clinical,Southeast,Not Collected,Blood
B14308,CDC's Mycotic Diseases Branch,[Candida] auris,03/12/2020,03/18/2020,USA,WA,Homo sapiens,Not Provided,Not Provided,B14308/USA/WA/2025-01-07,,Illumina DNA Prep kit,Illumina MiSeq,Not Provided,,WGS,GENOMIC,RANDOM,paired,ILLUMINA,#11C41B,SEATTLE,> 16,1,0.25,USA-CDC-CAU-B14308,,,,40.3,39.54,,,,,,,PASS,,,,,,,,Clade IV,clinical,West,Not Collected,Sputum
